# Multiple-choice questions
type,difficulty,question,answers,correctIndex,correctAnswerText
choice,easy,Vad kallas det när man vinner ett tennisset med 6-0?,Bagel | Donut | Noll | Shutout,0,Bagel
choice,easy,Hur många set måste man vinna för att vinna en match i Grand Slam-turneringar för herrar?,2 | 3 | 4 | 5,1,3
choice,easy,Vad heter det område som spelaren måste stå inom när hen servar?,Baslinjen | Servicerutan | Nätområdet | Servicelinjen,0,Baslinjen
choice,easy,Vilken av dessa Grand Slam-turneringar spelas på grus?,Wimbledon | US Open | French Open | Australian Open,2,French Open
choice,easy,Vad kallas poängen 0 i tennis?,Noll | Love | Zero | Start,1,Love
choice,easy,Hur många poäng behöver man för att vinna ett game (utan deuce)?,3 | 4 | 5 | 6,1,4
choice,easy,Vilken hand höll John McEnroe racket med?,Höger | Vänster | Båda | Växlade,1,Vänster
choice,easy,Vad heter det när ställningen är 40-40?,Deuce | Advantage | Match point | Set point,0,Deuce
choice,easy,Vilken av dessa Grand Slam-turneringar spelas på gräs?,French Open | US Open | Wimbledon | Australian Open,2,Wimbledon
choice,easy,Hur bred är en tennisbana för singelspel?,"8,23 meter | 10,97 meter | 12,8 meter | 15 meter",0,"8,23 meter"
choice,easy,Vad kallas det när man slår bollen innan den studsar?,Volley | Smash | Lob | Drop shot,0,Volley
choice,easy,Vilken spelarinna har vunnit flest Grand Slam-titlar?,Steffi Graf | Martina Navratilova | Serena Williams | Margaret Court,3,Margaret Court
choice,easy,Vad kallas det när man slår bollen rakt ner i motståndarens bana från luften?,Volley | Smash | Lob | Drive,1,Smash
choice,easy,Hur många chanser får man om man missar första serven?,En | Två | Tre | Obegränsat,0,En
choice,easy,Vilken färg har traditionellt en tennisboll?,Vit | Gul | Grön | Orange,1,Gul
choice,easy,Vad heter det när man spelar på höger sida av banan vid serve?,Forehand-sidan | Backhand-sidan | Deuce-sidan | Ad-sidan,2,Deuce-sidan
choice,easy,Vilken Grand Slam-turnering spelas först på året?,French Open | Wimbledon | US Open | Australian Open,3,Australian Open
choice,easy,Vad kallas det när bollen träffar nätet under en serve men landar i rätt ruta?,Fel | Let | Ace | Fault,1,Let
choice,easy,Hur högt är nätet i mitten av banan?,"0,914 meter | 1 meter | 1,07 meter | 1,2 meter",0,"0,914 meter"
choice,easy,Vad heter Roger Federers hemland?,Österrike | Tyskland | Schweiz | Sverige,2,Schweiz
choice,easy,Vilket år började Wimbledon tillåta professionella spelare?,1968 | 1970 | 1965 | 1972,0,1968
choice,easy,Vad kallas det när man slår bollen högt upp för att komma förbi motståndaren?,Smash | Volley | Lob | Drive,2,Lob
choice,easy,Vilken spelarinna vann Wimbledon 2019?,Serena Williams | Marketa Vondrousova | Ons Jabeur | Elena Rybakina,1,Marketa Vondrousova
choice,easy,Vad står ATP för?,American Tennis Players | Association of Tennis Professionals | Australian Tennis Program | Advanced Tennis Performance,1,Association of Tennis Professionals
choice,easy,Hur många games måste man vinna för att vinna ett set (utan tiebreak)?,5 | 6 | 7 | 8,1,6
choice,easy,Vilken spelare har vunnit French Open flest gånger?,Roger Federer | Novak Djokovic | Rafael Nadal | Andre Agassi,2,Rafael Nadal
choice,easy,Vad heter den mest prestigefulla tennisturneringen för damer?,WTA Finals | Wimbledon | Fed Cup | WTA Tour,1,Wimbledon
choice,easy,Vilken typ av underlag används på US Open?,Grus | Gräs | Hardcourt | Konstgräs,2,Hardcourt
choice,easy,Vad kallas det när man returnerar en serve direkt för vinst?,Ace | Winner | Return ace | Break,2,Return ace
choice,easy,Hur många set spelas det i damernas Grand Slam-finaler?,Bäst av 3 | Bäst av 5 | Exakt 3 | Exakt 5,0,Bäst av 3
choice,easy,Vad heter det när man vinner motståndarens serve?,Hold | Break | Ace | Winner,1,Break
choice,easy,Vilken månad spelas Wimbledon traditonellt?,Juni | Juli | Augusti | September,1,Juli
choice,easy,Vad kallas den mjuka bollen som används på lägre nivåer?,Träningsboll | Juniorboll | Övningsboll | Lågkompressionsboll,3,Lågkompressionsboll
choice,easy,Vilken färg bär spelarna traditionellt på Wimbledon?,Gul | Vit | Grön | Blå,1,Vit
choice,easy,Vad heter det när man slår bollen mjukt så att den knappt går över nätet?,Drop shot | Slice | Volley | Chip,0,Drop shot
choice,easy,Hur många huvuddomare finns det i en tennis match?,En | Två | Tre | Fyra,0,En
choice,easy,Vad kallas det när bollen går utanför banan?,Fel | Ute | Fault | Miss,1,Ute
choice,easy,Vilken spelare vann US Open herrar 2020?,Dominic Thiem | Novak Djokovic | Daniil Medvedev | Rafael Nadal,0,Dominic Thiem
choice,easy,Vad heter det område mellan servicelinjerna?,No man's land | Service box | Forecourt | Midcourt,1,Service box
choice,easy,Hur många linjedomare kan det maximalt finnas i en professionell tennis match?,6 | 9 | 10 | 15,2,10
choice,easy,Vad kallas det när man träffar bollen på racketets kant?,Ramträff | Kantträff | Ringträff | Sidträff,0,Ramträff
choice,easy,Vilken Grand Slam-turnering ger Venus Rosewater Dish till damernas singelvinnare?,Wimbledon | US Open | Australian Open | French Open,0,Wimbledon
choice,easy,Vad står WTA för?,World Tennis Association | Women's Tennis Association | Women's Tennis Alliance | World Tennis Alliance,1,Women's Tennis Association
choice,easy,Hur många bollar används vanligtvis i början av en professionell tennismatch?,6 | 7 | 9 | 12,0,6
choice,easy,Vad heter det när man vinner alla fyra Grand Slam-turneringar samma år?,Super Slam | Grand Slam | Perfect Slam | Golden Slam,1,Grand Slam
choice,easy,Vilken hand använder Rafael Nadal för att spela tennis?,Höger | Vänster | Båda | Växlar,1,Vänster
choice,easy,Hur många chanser får man om man begär Hawk-Eye på Wimbledon?,2 | 3 | 4 | Obegränsat,2,4
choice,easy,Vad heter det när man slår bollen med underspin?,Topspin | Slice | Flat | Kick,1,Slice
choice,easy,Vilken stad arrangerar French Open?,Lyon | Marseille | Paris | Nice,2,Paris
choice,easy,Vilka är de fyra Grand Slam-turneringarna i tennis?,"Wimbledon, French Open, US Open, Australian Open | Wimbledon, French Open, Davis Cup, Australian Open | Wimbledon, French Open, ATP Finals, Australian Open | Wimbledon, French Open, Monte Carlo Masters, Australian Open",0,"Wimbledon, French Open, US Open, Australian Open"
choice,medium,Vem var den första spelaren att vinna Calendar Grand Slam i öppna eran?,Rod Laver | Steffi Graf | Margaret Court | Maureen Connolly,0,Rod Laver
choice,medium,Vilket år infördes tiebreak i tennis?,1965 | 1970 | 1975 | 1980,1,1970
choice,medium,Vem tränade Stefan Edberg under hans mest framgångsrika period?,Tony Pickard | Sven Salumaa | Percy Rosberg | Ulf Schmidt,0,Tony Pickard
choice,medium,Vilken spelare har flest ATP Masters 1000-titlar?,Rafael Nadal | Roger Federer | Novak Djokovic | Andre Agassi,2,Novak Djokovic
choice,medium,Vad heter den berömda tennismatchen mellan John McEnroe och Björn Borg 1980?,Wimbledon Final | Fire and Ice | The Greatest Match | Classic Clash,0,Wimbledon Final
choice,medium,Vilken kvinnlig spelare hade flest veckor som världsetta?,Steffi Graf | Martina Navratilova | Serena Williams | Chris Evert,0,Steffi Graf
choice,medium,Vem vann den första öppna Wimbledon 1968 i herrklassen?,Ken Rosewall | Rod Laver | Arthur Ashe | John Newcombe,1,Rod Laver
choice,medium,Vilken spelare hade smeknamnet 'The Ice Man'?,Stefan Edberg | Björn Borg | Mats Wilander | Ivan Lendl,1,Björn Borg
choice,medium,Hur många Grand Slam-singeltitlar vann Björn Borg?,5 | 6 | 7 | 8,1,6
choice,medium,Vem är den yngsta kvinnliga spelaren som vunnit Wimbledon?,Martina Hingis | Venus Williams | Steffi Graf | Lottie Dod,3,Lottie Dod
choice,medium,Vilken spelare vann 'Battle of the Sexes' 1973?,Bobby Riggs | Billie Jean King | Margaret Court | John McEnroe,1,Billie Jean King
choice,medium,Vad heter Davis Cup-finalen för damer?,Fed Cup | Billie Jean King Cup | Wightman Cup | Hopman Cup,1,Billie Jean King Cup
choice,medium,Vem var den första spelaren att tjäna över 1 miljon dollar på tennis?,Chris Evert | Billie Jean King | Virginia Wade | Martina Navratilova,1,Billie Jean King
choice,medium,Vilken spelare har längst vinningsvit på grus i modern tid?,Rafael Nadal | Björn Borg | Thomas Muster | Guillermo Vilas,0,Rafael Nadal
choice,medium,Vem designade den ursprungliga Wimbledon-pokalen för herrar?,Mappin & Webb | Elkington & Co | Asprey | Garrard,0,Mappin & Webb
choice,medium,Vilken spelare vann sin första Grand Slam-titel vid 17 års ålder?,Maria Sharapova | Martina Hingis | Monica Seles | Arantxa Sánchez Vicario,0,Maria Sharapova
choice,medium,Vad heter den officiella tennisbollen som används på Wimbledon?,Slazenger | Wilson | Dunlop | Head,0,Slazenger
choice,medium,Vem var den första spelaren att vinna över 100 miljoner dollar i karriären?,Pete Sampras | Andre Agassi | Roger Federer | Novak Djokovic,3,Novak Djokovic
choice,medium,Vilken spelare hade flest aces under en Grand Slam-turnering?,John Isner | Ivo Karlovic | Kevin Anderson | Goran Ivanišević,3,Goran Ivanišević
choice,medium,Vilka två spelare deltog i den längsta matchen i tennis-historien?,John Isner och Nicolas Mahut | John Isner och Kevin Anderson | Nicolas Mahut och Kevin Anderson | John Isner och John Millman,0,John Isner och Nicolas Mahut
choice,medium,Vilken kvinnlig spelare har vunnit flest French Open-titlar?,Steffi Graf | Monica Seles | Chris Evert | Justine Henin,,
choice,medium,Vad heter världsrankingen för herrarna?,ATP Rankings | FedEx ATP Rankings | Emirates ATP Rankings | Pepperstone ATP Rankings,0,ATP Rankings
choice,medium,Vem var den siste amatörspelaren som vann Wimbledon?,Rod Laver | John Newcombe | Ken Rosewall | Arthur Ashe,0,Rod Laver
choice,medium,Vilken spelare har flest titlar på WTA Tour?,Steffi Graf | Martina Navratilova | Serena Williams | Chris Evert,1,Martina Navratilova
choice,medium,Vem uppfann det moderna racket-strängsystemet?,Babolat | Prince | Wilson | Head,0,Babolat
choice,medium,Vilken spelare vann Australian Open när det fortfarande spelades på gräs?,Rod Laver | Ken Rosewall | Stefan Edberg | Pat Rafter,0,Rod Laver
choice,medium,Vad heter den årliga prisutdelningen för tennis?,ITF World Champions | ATP Awards | Tennis Hall of Fame | Golden Racket,1,ATP Awards
choice,medium,Vem var den första kvinnan som slog mer än 200 km/h på en serve?,Venus Williams | Serena Williams | Brenda Schultz-McCarthy | Sabine Lisicki,2,Brenda Schultz-McCarthy
choice,medium,Vilken spelare introducerade 'tweener'-slaget?,Guillermo Vilas | Yannick Noah | Gael Monfils | Roger Federer,0,Guillermo Vilas
choice,medium,Vad heter den berömda tennisturneringen som hålls i Queen's Club?,Queen's Club Championships | Stella Artois Championships | cinch Championships | Aegon Championships,2,cinch Championships
choice,medium,Vem var den första spelaren att använda grafitracket i professionell tennis?,Arthur Ashe | Jimmy Connors | Björn Borg | John McEnroe,1,Jimmy Connors
choice,medium,Vilken spelare vann flest Grand Slam-dubbelttitlar?,John McEnroe | Todd Woodbridge | Mark Woodforde | Bob Bryan,1,Todd Woodbridge
choice,medium,Vad heter den äldsta tennisturneringen i världen?,Wimbledon | Queen's Club | US National Championships | Northern Championships,0,Wimbledon
choice,medium,Vem var den första spelaren att vinna alla fyra Grand Slams på olika underlag?,Andre Agassi | Roger Federer | Rafael Nadal | Novak Djokovic,0,Andre Agassi
choice,medium,Vilken organisation grundades 1973 för att försvara kvinnors rättigheter i tennis?,WTA | Women's Tennis Council | Virginia Slims | Women's International Tennis Association,0,WTA
choice,medium,Vem höll rekordet för flest aces i en match innan Hawk-Eye?,Goran Ivanišević | Mark Philippoussis | Richard Krajicek | Greg Rusedski,2,Richard Krajicek
choice,medium,Vilken spelare började använda tunga topspin-slag i modern tennis?,Björn Borg | Guillermo Vilas | Manuel Orantes | Adriano Panatta,0,Björn Borg
choice,medium,Vad heter det system som används för att mäta bollhastighet?,SpeedTrack | Radar Gun | VelocityMeter | TennisSpeed,1,Radar Gun
choice,medium,Vem var den första spelaren att vinna över 1000 matcher på ATP Tour?,Jimmy Connors | Ivan Lendl | John McEnroe | Guillermo Vilas,0,Jimmy Connors
choice,medium,Vilken spelare introducerade det moderna dubbelhandade backhandslaget?,Chris Evert | Jimmy Connors | Björn Borg | Pancho Segura,3,Pancho Segura
choice,medium,Vad heter den teknologi som används för att spåra bollar?,Hawk-Eye | Eagle Eye | Ball Tracker | Line Watch,0,Hawk-Eye
choice,medium,Vem var den första kvinnliga spelaren att tjäna över 20 miljoner dollar?,Steffi Graf | Monica Seles | Martina Navratilova | Arantxa Sánchez Vicario,0,Steffi Graf
choice,medium,Vilken stad har arrangerat flest Davis Cup-finaler?,Paris | London | New York | Melbourne,3,Melbourne
choice,medium,Vem designade den moderna Wimbledon-centercourten?,Norman Foster | David Chipperfield | Populous | KSS Group,2,Populous
choice,medium,Vilken spelare höll världsrekordet för snabbaste serve i över 10 år?,Andy Roddick | Ivo Karlovic | John Isner | Milos Raonic,0,Andy Roddick
choice,medium,Vad heter den berömda dokumentären om en tennismatch från 2017?,Borg vs McEnroe | The Final Match | Tennis Legends | Court Warriors,0,Borg vs McEnroe
choice,medium,Vem var den första spelaren att vinna Wimbledon med metalracket?,Jimmy Connors | Arthur Ashe | Björn Borg | Ilie Năstase,0,Jimmy Connors
choice,medium,Vilken organisation ansvarar för dopingkontroller i tennis?,ITF | ATP | WTA | WADA,3,WADA
choice,medium,Vem var den första spelaren att använda en sportagent i tennis?,Arthur Ashe | Donald Dell | Mark McCormack | Björn Borg,1,Donald Dell
choice,medium,Vilken teknisk innovation introducerades först på US Open 2006?,Hawk-Eye | Speed Gun | Electronic Line Calling | Shot Clock,0,Hawk-Eye
choice,hard,Vem vann herrsingeln i Wimbledon 1990?,Stefan Edberg | Ivan Lendl | Andre Agassi | Pete Sampras,0,Stefan Edberg
choice,hard,Vilken spelare hade den längsta vinningsraden på hardcourt i öppna eran?,Ivan Lendl | John McEnroe | Jimmy Connors | Novak Djokovic,3,Novak Djokovic
choice,hard,Vad var Steffi Grafs exakta Grand Slam-titel-siffra i singel?,20 | 21 | 22 | 23,2,22
choice,hard,Vem var den första spelaren att genomföra Career Golden Slam (inklusive OS)?,Andre Agassi | Steffi Graf | Rafael Nadal | Serena Williams,1,Steffi Graf
choice,hard,Vilken spelare höll rekordet för flest konsekutiva Grand Slam-kvartsfinaler?,Roger Federer | Rafael Nadal | Novak Djokovic | Jimmy Connors,0,Roger Federer
choice,hard,Vad kallades den berömda rivaliteten mellan Chris Evert och Martina Navratilova?,Den Största Rivaliteten | Eld och Is | Den Gyllene Eran | Slaget,1,Eld och Is
choice,hard,Vem var den sista spelaren att vinna Calendar Grand Slam i herrsingel?,Rod Laver | Don Budge | Maureen Connolly | Steffi Graf,0,Rod Laver
choice,hard,Vilken exakt tid pågick den längsta tennismatchen i historien?,11 timmar 5 minuter | 11 timmar 15 minuter | 10 timmar 45 minuter | 12 timmar 20 minuter,0,11 timmar 5 minuter
choice,hard,Vem introducerade det första kolfiber-racketet?,Prince | Head | Dunlop | Yonex,1,Head
choice,hard,Vilken spelare vann den första miljondollar-bonusen från Grand Prix Masters?,John McEnroe | Ivan Lendl | Jimmy Connors | Björn Borg,1,Ivan Lendl
choice,hard,Vad var Monica Seles ålder när hon vann sin första Grand Slam?,16 år 6 månader | 16 år 8 månader | 16 år 11 månader | 17 år 2 månader,0,16 år 6 månader
choice,hard,Vem var den första spelaren att vinna över 800 matcher på ATP Tour?,Jimmy Connors | Ivan Lendl | John McEnroe | Ilie Năstase,0,Jimmy Connors
choice,hard,Vilken organisation ersatte ILTF (International Lawn Tennis Federation)?,ATP | ITF | Grand Slam Committee | Professional Tennis Council,1,ITF
choice,hard,"Vem var den första kvinnan att vinna en Grand Slam-titel i singel, dubbel och mixed dubbel under samma kalenderår?",Margaret Osborne duPont | Pauline Betz | Dorothy Round | Nora Gordon,0,Margaret Osborne duPont
choice,hard,Vilken spelare hade smeknamnet 'Rocket' under sin karriär?,Rod Laver | Ken Rosewall | Lew Hoad | Ashley Cooper,0,Rod Laver
choice,hard,Vad hette den första professionella tennisturneringen 1926?,US Pro | French Pro | Wembley Pro | World Championship,0,US Pro
choice,hard,Vem var den första spelaren att använda Wilson Pro Staff-racketet?,John McEnroe | Jimmy Connors | Ivan Lendl | Pete Sampras,3,Pete Sampras
choice,hard,Vilken exakt hastighet hade Andy Rodddicks rekordserve 2004?,"249,4 km/h | 249,3 km/h | 249,5 km/h | 249,2 km/h",0,"249,4 km/h"
choice,hard,Vem var den första spelaren att vinna samma Grand Slam fem gånger i rad?,Björn Borg | Rafael Nadal | Roger Federer | Pete Sampras,1,Rafael Nadal
choice,hard,Vilken stad var värd för den första Davis Cup-finalen 1900?,Boston | New York | Philadelphia | Brookline,3,Brookline
choice,hard,Vem var den första spelaren att förlora en Grand Slam-final efter att ha lett med 2-0 i set?,Ivan Lendl | John McEnroe | Jimmy Connors | Guillermo Vilas,3,Guillermo Vilas
choice,hard,Vilken organisation grundade de första World Championships 1913?,ILTF | USLTA | LTA | FFT,0,ILTF
choice,hard,Vem var den första spelaren att använda oversize-racketet i professionell tennis?,Pam Shriver | Gene Mayer | Howard Schoenfield | Prince Manufacturing,0,Pam Shriver
choice,hard,Vilken spelare vann den första WCT Finals 1971?,Ken Rosewall | Rod Laver | John Newcombe | Arthur Ashe,0,Ken Rosewall
choice,hard,Vad var det ursprungliga namnet för French Open?,French Championships | Championnats de France | Roland Garros Tournament | Paris Championships,1,Championnats de France
choice,hard,Vem var den första kvinnliga spelaren att slå över 200 km/h på en serve?,Venus Williams | Brenda Schultz-McCarthy | Serena Williams | Sabine Lisicki,1,Brenda Schultz-McCarthy
choice,hard,Vad är vikten på en standard tennisboll enligt dagens regler?,56-58 gram | 57-58 gram | 56-59.4 gram | 57-59 gram,2,56-59.4 gram
choice,hard,Vem populariserade spelet 'lawn tennis' 1875?,Walter Wingfield | Spencer Gore | William Renshaw | Harry Gem,0,Walter Wingfield
choice,hard,Vilken stad arrangerade den första inomhus-tennisturneringen?,London | Paris | Boston | New York,3,New York
